Date,Close,High,Low,Open,Volume,RSI,MA10,MA20,MA50,MACD
2025-01-31,91932.2109375,91932.2109375,91932.2109375,91932.2109375,0,54.143453783446674,91574.80625,91445.74296875,91854.7715625,119.98273748498653
2025-02-03,90939.421875,91733.65263373363,90939.421875,91634.37378889193,1435800,43.7001450059446,91564.878125,91381.21171875,91874.62734375,45.66877935915402
2025-02-04,91336.5390625,91535.09675611413,91038.7025220788,91435.81790930706,855200,48.019133632134185,91624.44609375,91366.319921875,91888.52640625,22.364804846338252
2025-02-05,91932.2109375,92130.76862850972,91336.53786447084,91336.53786447084,1345800,53.75046183457943,91763.43671875,91376.248046875,91892.49765625,44.8748550686301
2025-02-06,92230.046875,92726.44109930033,92031.48918527988,92130.76803013994,1351600,56.34240942989057,91803.1484375,91425.8875,91896.46890625,75.81076179685883
2025-02-07,92329.328125,92527.88581989247,91832.93388776881,92230.04927755377,2260900,57.20340876357896,91842.86015625,91505.3109375,91904.41125,97.56203643979595
2025-02-10,91535.09375,92230.04565482646,91237.25721936008,92230.04565482646,2298100,48.89572317280547,91803.1484375,91520.202734375,91882.56984375,55.1718804806045
2025-02-11,91237.2578125,91634.37318926823,91038.70012411589,91535.09434507617,1039400,46.18684459397742,91733.653125,91530.13046875,91836.9015625,6.354521196070976
2025-02-12,90840.140625,91832.92904713114,90840.140625,91237.25599385245,1054100,42.78338879776389,91624.44609375,91535.09453125,91807.1178125,-50.282578651713926
2025-02-13,90939.421875,91237.25840952511,90740.8641853166,91237.25840952511,862300,43.89646597017883,91525.1671875,91545.02265625,91769.391875,-77.05833725674945
2025-02-14,90939.421875,91535.09494405023,90840.1430301583,91535.09494405023,947800,43.89646597017883,91425.88828125,91500.347265625,91721.738125,-89.87422206820962
2025-02-17,90939.421875,91336.53725436682,90840.1430301583,90840.1430301583,787100,43.89646597017883,91425.88828125,91495.383203125,91670.113125,-93.0636570427151
2025-02-18,90939.421875,91336.53725436682,90740.8641853166,90939.421875,1065500,43.89646597017883,91386.1765625,91505.311328125,91596.646875,-89.84011340384538
2025-02-19,91038.703125,91038.703125,90641.58773514176,90939.42427753544,1509500,45.327053251286294,91296.82578125,91530.13125,91541.05078125,-76.22536126724623
2025-02-20,91038.703125,91634.37620978734,91038.703125,91535.09736232279,1636600,45.327053251286294,91177.69140625,91490.419921875,91509.2815625,-62.97347317847566
2025-02-21,92428.6015625,92428.6015625,91435.81314614661,91435.81314614661,2513400,61.334784194929995,91187.61875,91515.239453125,91501.33921875,38.19989339228047
2025-02-24,92825.71875,92825.71875,92031.4880013369,92627.16106283422,1956000,64.53026044707319,91316.68125,91559.91484375,91509.2815625,125.73301895571056
2025-02-25,91932.2109375,92924.9993925486,91832.93209199514,92825.72054704373,1926600,53.76387194010868,91386.1765625,91559.91484375,91499.35375,117.476831279404
2025-02-26,91634.375,92230.04807692308,91535.09615384616,91932.21153846155,769200,50.72579399670827,91465.6,91545.023046875,91485.4546875,87.3611948153004
2025-02-27,93322.109375,94712.01313164893,93322.109375,94215.61893284574,5028800,63.3605962941256,91703.86875,91614.51796875,91503.32484375,171.6385356211825
2025-02-28,92627.1640625,93520.67368368167,92627.1640625,93520.67368368167,2070800,56.891716643660565,91872.64296875,91649.265625,91521.19515625,170.74897072928678
2025-03-03,61957.96875,62090.781351780635,61758.74790828911,62090.781351780635,1870245,9.721283597224968,88974.49765625,90200.19296875,90923.6959375,-1796.750709365155
2025-03-04,61758.74609375,62024.37516758669,61559.521379812664,61891.55869162846,3735855,9.665223511819164,86056.430078125,88721.3033203125,90324.197890625,-2945.1262959077985
2025-03-05,61758.74609375,62290.00424142337,61758.74609375,61758.74609375,2721199,9.665223511819164,83128.434375,87212.630078125,89730.6565625,-3500.464560768099
2025-03-06,62090.78125,62555.63505066994,61891.560408615675,62090.78125,3524612,10.66105458589054,80233.6421875,85705.666796875,89137.79921875,-3625.818797160718
2025-03-07,63153.296875,63286.11335317102,62090.78056195118,62157.18880103669,5979252,13.93080337686078,77306.11171875,84246.865234375,88572.14890625,-3420.2145670284335
2025-03-10,64282.22265625,64680.66434222184,63817.37272992288,64016.5935729088,6621056,17.390349309740003,74451.762109375,82884.2216796875,88027.091484375,-3005.9165934355433
2025-03-11,64282.22265625,64282.22265625,63485.335406226404,63750.9644895676,5442099,17.390349309740003,71686.76328125,81536.469921875,87486.00515625,-2547.7259229139563
2025-03-12,66218.9921875,68105.29031577961,65126.92485007496,65524.04024550225,7560300,23.50779929966835,69145.225,80305.4125,86999.53890625,-1956.6363828053436
2025-03-13,65027.640625,66715.38091603054,64729.80410305344,66715.38091603054,4496300,22.408540644489108,66315.778125,79009.8234375,86475.3465625,-1508.4041065788124
2025-03-14,65524.03515625,66318.26588541667,64928.362109375,64928.362109375,4920600,24.003153366951324,63605.465234375,77739.0541015625,85959.096484375,-1062.0631014387764
2025-03-17,66814.6640625,66814.6640625,65524.03905089153,65524.03905089153,4940800,28.13836266425234,64091.134765625,76532.8162109375,85450.788828125,-587.1986024310927
2025-03-18,66318.265625,67311.05403255988,66318.265625,67311.05403255988,3656000,27.51815806066655,64547.08671875,75301.7583984375,84944.466640625,-232.0548776368396
2025-03-19,66020.4296875,66715.38157894737,66020.4296875,66715.38157894737,3674000,27.131750728971042,64973.255078125,74050.8447265625,84430.202265625,42.63365923416495
2025-03-20,66318.265625,66516.82330651199,65722.59258046407,66020.42910273204,1688900,28.217253044936683,65396.003515625,72814.8228515625,83931.822421875,290.4120327179062
2025-03-21,65524.03515625,66516.82356770833,65524.03515625,66516.82356770833,1701500,27.059626838190766,65633.07734375,71469.59453125,83427.4859375,437.979650807144
2025-03-24,66020.4296875,66020.4296875,65027.64127114662,65821.87200422933,1977600,29.01963101864557,65806.898046875,70129.330078125,82923.149375,596.3677985821969
2025-03-25,65722.59375,66119.70912009063,65722.59375,66020.43027756797,2028100,28.524363581550944,65950.93515625,68818.84921875,82416.8271875,701.1899004112329
2025-03-26,65325.48046875,66119.71123432751,65325.48046875,65921.15354293313,1507400,27.84206981607683,65861.583984375,67503.4044921875,81908.519609375,759.0090928325653
2025-03-27,65027.640625,65424.75598759542,65027.640625,65325.47714694656,901500,27.31435479962495,65861.583984375,66088.6810546875,81394.255234375,788.9422582324933
